Study,D1,D2,D3,D4,D5,Overall,Weight
Ainsworth et al. (2013),Some concerns,High,Low,Low,Some concerns,High,1
Becerra et al. (2016),Some concerns,Low,Low,Low,Some concerns,Some concerns,1
Burger and Lockhart (2017),Low,Low,Low,Low,Some concerns,Some concerns,1
Elliott et al. (2014),Some concerns,Low,Low,Low,Some concerns,Some concerns,1
Kwak et al. (2020),Low,Low,Low,Low,Some concerns,Some concerns,1
Norris et al. (2018),Some concerns,Low,Low,Low,Some concerns,Some concerns,1
"Sharpe (2021, Experiment 1)",Low,Low,Low,Low,Low,Low,1
"Sharpe (2021, Experiment 2)",Low,Low,Low,Low,Some concerns,Some concerns,1
"Sharpe (2021, Experiment 3)",Low,Some concerns,Low,Low,Low,Some concerns,1
"Sharpe (2021, Experiment 4)",Low,Low,Low,Low,Some concerns,Some concerns,1
"Sharpe (2021, Experiment 5)",Low,Low,Low,Low,Low,Low,1
Tang et al. (2007),Some concerns,Low,Low,Low,Some concerns,Some concerns,1
"Tsai and Chou (2016, Experiment 2)",Some concerns,Low,Low,Low,Some concerns,Some concerns,1
Walsh et al. (2019),Some concerns,Low,Low,Low,Some concerns,Some concerns,1
